Player,Base Price,TYPE,COST IN ₹ (CR.),Cost IN $ (000),2021 Squad,Team,Status
Apoorv Wankhade,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Atharva Ankolekar,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Tanay Thyagarajan,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Ankush Bains,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold
Prashant Chopra,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold
Kedar Devdhar,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold
Shreevats Goswami,20 Lakh,WICKETKEEPER,0.0,0.0,SRH,Unsold,Unsold
Akshdeep Nath,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold
Aditya Tare,20 Lakh,WICKETKEEPER,0.0,0.0,MI,Unsold,Unsold
Upendra Singh Yadav,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold
Ben Dwarshuis,30 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Pankaj Jaswal,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Lukman Hussain Meriwala,20 Lakh,BOWLER,0.0,0.0,DC,Unsold,Unsold
Vyshak Vijay Kumar,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Zeeshan Ansari,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Yuvraj Chudasama,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Dharmendrasinh Jadeja,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Khrievitso Kense,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Prince Balwant Rai,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Pardeep Sahu,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Jalaj Saxena,30 Lakh,BOWLER,0.0,0.0,PBKS,Unsold,Unsold
Midhun Sudhesan,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Martin Guptill,75 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Usman Khawaja,1.5 Cr,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Brandon King,50 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Janneman Malan,50 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Rilee Rossouw,1 Cr,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Paul Stirling,50 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Hanuma Vihari,50 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
James Vince,2 Cr,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Hazratullah Zazai,50 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Roston Chase,1 Cr,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Ben Cutting,75 Lakh,ALL-ROUNDER,0.0,0.0,KKR,Unsold,Unsold
Lewis Gregory,1.5 Cr,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Moises Henriques,1 Cr,ALL-ROUNDER,0.0,0.0,PBKS,Unsold,Unsold
Akeal Hosein,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Karim Janat,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Scott Kuggeleijn,75 Lakh,ALL-ROUNDER,0.0,0.0,RCB,Unsold,Unsold
Pawan Negi,50 Lakh,ALL-ROUNDER,0.0,0.0,KKR,Unsold,Unsold
Taskin Ahmed,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Marchant De Lange,2 Cr,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Dhawal Kulkarni,75 Lakh,BOWLER,0.0,0.0,MI,Unsold,Unsold
Saqib Mahmood,2 Cr,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Kane Richardson,1.5 Cr,BOWLER,0.0,0.0,RCB,Unsold,Unsold
Naveen Ul Haq,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Harpreet Bhatia,40 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Sudip Chatterjee,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Hiten Dalal,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Abhimanyu Easwaran,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Laurie Evans,40 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Rahul Gahlaut,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Amandeep Khare,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Mayank Rawat,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Dhruv Shorey,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Hayden Kerr,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Saurabh Kumar,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Shams Mulani,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Dhruv Patel,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Atit Sheth,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Utkarsh Singh,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
David Wiese,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Kaif Ahmad,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold
Shubhum Arora,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold
Arun Karthick,40 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold
Eknath Kerkar,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold
Kennar Lewis,40 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold
Nikhil Naik,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold
Urvil Patel,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold
B.R. Sharath,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold
K.L. Shrijith,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold
Mohit Avasthi,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Sushant Mishra,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Matheesha Pathirana,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
G Periyasamy,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
M.Harishankar Reddy,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
R. Silambarasan,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Aditya Thakare,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Tanveer Ul Haq,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Prithviraj Yarra,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Satyajeet Bachhav,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Chintal Gandhi,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Jacob Lintott,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Izharulhuq Naveed,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Tanveer Sangha,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Manav Suthar,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Milind Tandon,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Sagar Udeshi,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Kushaal Wadhwani,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Akshay Wakhare,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Darren Bravo,75 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Shamrah Brooks,50 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Avishka Fernando,50 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Zubayr Hamza,50 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Pathum Nissaanka,50 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Kurtis Patterson,50 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Hashmatullah Shahidi,50 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Manoj Tiwary,50 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Ashton Agar,2 Cr,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Carlos Brath15000000e,75 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Kedar Jadhav,1 Cr,ALL-ROUNDER,0.0,0.0,SRH,Unsold,Unsold
Colin Munro,1.5 Cr,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Gulbadin Naib,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Keemo Paul,75 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Parvez Rasool,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Dasun Shanaka,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Wesley Agar,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Shoriful Islam,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Josh Little,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Blessing Muzarabani,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Jayden Seales,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Mohit Sharma,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Barinder Sran,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Billy Stanlake,75 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
