Player,Base Price,TYPE,COST IN ₹ (CR.),Cost IN $ (000),2021 Squad,Team,Status
Mohit Jangra,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Aaqib Khan,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Ruben Trumpelmann,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Brad Wheal,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Lalit Yadav,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Auqib Dar,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Chirag Gandhi,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Chris Green,40 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Sijomon Joseph,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Anirudha Joshi,20 Lakh,ALL-ROUNDER,0.0,0.0,DC,Unsold,Unsold
Shubham Sharma,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Shubham Singh,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Arpit Guleria,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Vipul Krishna,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Safvan Patel,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Chinntla Readdi,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Manish Reddy,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Ravi Sharma,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Shubham Singh,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Corbin Bosch,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Nathan McAndrew,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Diwesh Pathania,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Shubham Ranjane,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Tom Rogers,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Johannes Smit,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Sagar Trivedi,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Harsh Tyagi,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
R. Vivek,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
R.Sonu Yadav,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
V. Athisayaraj,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Ottneil Baartman,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
M.B. Darshan,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
V. Gowtham,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Khwezi Gumede,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Liam Guthrie,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Liam Hatcher,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Jay Bista,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Saurav Chuahan,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Tajinder Dhillon,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Dikshanshu Negi,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Abhishek Raut,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
K.V. Sasikanth,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Bharat Sharma,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Shivam Sharma,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Amit Yadav,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Manoj Bhandage,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Arun Chaprana,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Ajay Dev Goud,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Divyang Hinganekar,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Azim Kazi,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Sujit Nayak,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Parth Sahani,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Ashutosh Sharma,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Vivrant Sharma,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Kumar Kartikeya Singh,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Ravi Chauhan,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Shafiqullah Ghafari,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
M. Mohammed,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Pulkit Narang,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Pradosh Paul,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Pushpendra Singh Rathore,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Jason Sangha,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Purnank Tyagi,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Samarth Vyas,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Duan Jansen,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Dev Lakra,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Ajay Mandal,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Lakhan Raja,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Girinath Reddy,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Siddhant Sharma,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Matthew Short,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Saurin Thakar,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Nyeem Young,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Yuvraj Chaudhary,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Khizar Dafedar,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Sahil Dhiwan,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Arjit Gupta,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Mickil Jaiswal,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Ryan John,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
J. Kousik,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Jitender Pal,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Jonty Sidhu,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Yashovardhan Singh,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Beyers Swanepoel,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Pranshu Vijayran,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Ishan Afridi,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Mohammed Afridi,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Prerit Agrawal,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Aidan Cahill,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Mark Deyal,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Nidhish Rajagopal,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Bavanaka Sandeep,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Safyaan Sharif,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Henry Shipley,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Maxwell Swaminathan,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Johan Van Dyk,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Dunith Wellalage,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Agnivesh Ayachi,20 Lakh,ALL-ROUNDER,0.0,0.0,PBKS,Unsold,Unsold
Rohan Rana,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Nitish Reddy,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Hardik Tamore,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold
Mihir Hirwani,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Sairaj Patil,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Monu Singh,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Nivethan Radhakrishnan,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Lance Morris,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Aaron Hardie,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
