,Unnamed: 0,Player,Base Price,TYPE,COST IN ₹ (CR.),Cost IN $ (000),2021 Squad,Team,Status,retention,Base_Price_unit,BasePrice
227,227,Sean Abbott,75 Lakh,BOWLER,2.4,312.0,Not Participated,Sunrisers Hyderabad,Sold,From Auction,Lakh,75
228,228,Glenn Phillips,1.5 Cr,WICKETKEEPER,1.5,195.0,RR,Sunrisers Hyderabad,Sold,From Auction,Cr,1.5
229,229,Shreyas Gopal,20 Lakh,BOWLER,0.75,97.5,RR,Sunrisers Hyderabad,Sold,From Auction,Lakh,20
230,230,Vishnu Vinod,20 Lakh,WICKETKEEPER,0.5,65.0,DC,Sunrisers Hyderabad,Sold,From Auction,Lakh,20
231,231,Fazalhaq Farooqi,50 Lakh,BOWLER,0.5,65.0,Not Participated,Sunrisers Hyderabad,Sold,From Auction,Lakh,50
232,232,Priyam Garg,20 Lakh,BATTER,0.2,26.0,SRH,Sunrisers Hyderabad,Sold,From Auction,Lakh,20
233,233,R Samarth,20 Lakh,BATTER,0.2,26.0,Not Participated,Sunrisers Hyderabad,Sold,From Auction,Lakh,20
234,234,Jagadeesha Suchith,20 Lakh,BOWLER,0.2,26.0,SRH,Sunrisers Hyderabad,Sold,From Auction,Lakh,20
235,235,Shashank Singh,20 Lakh,ALL-ROUNDER,0.2,26.0,Not Participated,Sunrisers Hyderabad,Sold,From Auction,Lakh,20
236,236,Saurabh Dubey,20 Lakh,BOWLER,0.2,26.0,Not Participated,Sunrisers Hyderabad,Sold,From Auction,Lakh,20
